chr	start_promoter	end_promoter	strand	gene_name
chr5	5138443	5142443	+	ADAMTS16
chr5	5418777	5422777	+	KIAA0947
chr5	6376707	6380707	-	MED10
chr5	6446736	6450736	+	UBE2QL1
chr5	6631404	6635404	-	NSUN2
chr5	6631456	6635456	+	SRD5A1
chr5	6712718	6716718	+	PAPD7
chr5	7394321	7398321	+	ADCY2
chr5	7849603	7853603	-	C5orf49
chr5	7849299	7853299	+	MTRR
chr5	7867150	7871150	-	FASTKD3
chr5	9544187	9548187	-	SEMA5A
chr5	9710490	9714490	-	TAS2R1
chr5	10248009	10252009	-	FAM173B
chr5	10248033	10252033	+	CCT5
chr5	10306138	10310138	-	CMBL
chr5	10351815	10355815	+	MARCH6
chr5	10439636	10443636	+	ROPN1L
chr5	10520196	10524196	-	RP11-1C1.5
chr5	10562442	10566442	+	ANKRD33B
chr5	10759384	10763384	-	DAP
chr5	11902155	11906155	-	CTNND2
chr5	13942652	13946652	-	DNAH5
chr5	14141811	14145811	+	TRIO
chr5	14579884	14583884	+	FAM105A
chr5	14662773	14666773	+	FAM105B
chr5	14869887	14873887	-	ANKH
chr5	15498305	15502305	+	FBXL7
chr5	16178871	16182871	-	MARCH11
chr5	16463901	16467901	-	ZNF622
chr5	16615167	16619167	-	FAM134B
chr5	16934372	16938372	-	MYO10
chr5	17063707	17067707	+	BASP1
chr5	20573982	20577982	-	CDH18
chr5	22851731	22855731	-	CDH12
chr5	23505264	23509264	+	PRDM9
chr5	23949457	23953457	+	C5orf17
chr5	24643087	24647087	-	CDH10
chr5	27119257	27123257	-	CDH9
chr5	31191857	31195857	+	CDH6
chr5	31530303	31534303	-	DROSHA
chr5	31530373	31534373	+	C5orf22
chr5	31637517	31641517	+	PDZD2
chr5	32172456	32176456	-	GOLPH3
chr5	32311115	32315115	-	MTMR12
chr5	32442867	32446867	-	ZFR
chr5	32529739	32533739	+	SUB1
chr5	32687176	32691176	+	NPR3
chr5	32786945	32790945	+	AC026703.1
chr5	33438802	33442802	+	TARS
chr5	33890297	33894297	-	ADAMTS12
chr5	33934491	33938491	+	RXFP3
chr5	33982835	33986835	-	SLC45A2
chr5	34006220	34010220	-	AMACR
chr5	34122633	34126633	-	RP11-1084J3.4
chr5	34041937	34045937	-	C1QTNF3
chr5	34654342	34658342	+	RAI14
chr5	34836938	34840938	+	TTC23L
chr5	34917094	34921094	-	RAD1
chr5	34913481	34917481	+	BRIX1
chr5	34927698	34931698	+	DNAJC21
chr5	35046198	35050198	-	AGXT2
chr5	35228794	35232794	-	PRLR
chr5	35049012	35053012	+	AC010368.2
chr5	35615946	35619946	+	SPEF2
chr5	35850797	35854797	+	IL7R
chr5	35936881	35940881	-	CAPSL
chr5	35999130	36003130	-	UGT3A1
chr5	36069460	36073460	-	UGT3A2
chr5	36150063	36154063	-	LMBRD2
chr5	36150091	36154091	+	SKP2
chr5	36240381	36244381	-	NADK2
chr5	36300216	36304216	-	RANBP3L
chr5	36604457	36608457	+	SLC1A3
chr5	36874861	36878861	+	NIPBL
chr5	37247530	37251530	-	C5orf42
chr5	37369283	37373283	-	NUP155
chr5	37377314	37381314	+	WDR70
chr5	37837788	37841788	-	GDNF
chr5	38256511	38260511	+	EGFLAM
chr5	38606456	38610456	-	LIFR
chr5	38843960	38847960	+	OSMR
chr5	39072510	39076510	-	RICTOR
chr5	39272630	39276630	-	FYB
chr5	39103358	39107358	+	AC008964.1
chr5	39422970	39426970	-	C9
chr5	39460402	39464402	-	DAB2
chr5	40677600	40681600	+	PTGER4
chr5	40754077	40758077	-	TTC33
chr5	40796476	40800476	-	PRKAA1
chr5	40833437	40837437	-	RPL37
chr5	40839286	40843286	+	CARD6
chr5	40907354	40911354	+	C7
chr5	41069444	41073444	-	MROH2B
chr5	41259540	41263540	-	C6
chr5	41508730	41512730	-	PLCXD3
chr5	41868621	41872621	-	OXCT1
chr5	41902290	41906290	+	C5orf51
chr5	41923356	41927356	+	FBXO4
chr5	42421879	42425879	+	GHR
chr5	42754903	42758903	+	CCDC152
chr5	42885494	42889494	-	SEPP1
chr5	43041272	43045272	-	ANXA2R
chr5	43063278	43067278	+	ZNF131
chr5	43190173	43194173	+	NIM1
chr5	43311614	43315614	-	HMGCS1
chr5	43410493	43414493	-	CCL28
chr5	43481995	43485995	-	C5orf28
chr5	43513247	43517247	-	C5orf34
chr5	43555860	43559860	-	PAIP1
chr5	43600794	43604794	+	NNT
chr5	44387808	44391808	-	FGF10
chr5	44807027	44811027	+	MRPS30
chr5	45694253	45698253	-	HCN1
chr5	49737082	49741082	-	EMB
chr5	49959733	49963733	+	PARP8
chr5	50676921	50680921	+	ISL1
chr5	51301865	51305865	+	CTD-2203A3.1
chr5	52081730	52085730	+	ITGA1
chr5	52081774	52085774	+	PELO
chr5	52283156	52287156	+	ITGA2
chr5	52403893	52407893	-	MOCS2
chr5	52774239	52778239	+	FST
chr5	52854463	52858463	+	NDUFS4
chr5	53604412	53608412	-	ARL15
chr5	53749445	53753445	+	HSPB3
chr5	53811589	53815589	+	SNX18
chr5	54251674	54255674	-	RP11-45H22.3
chr5	54316499	54320499	-	ESM1
chr5	54318081	54322081	+	GZMK
chr5	54396476	54400476	+	GZMA
chr5	54467005	54471005	-	CDC20B
chr5	54453946	54457946	+	GPX8
chr5	54521143	54525143	-	MCIDAS
chr5	54527508	54531508	-	CCNO
chr5	54601550	54605550	-	DHX29
chr5	54601588	54605588	+	SKIV2L2
chr5	54828878	54832878	-	PPAP2A
chr5	55067022	55071022	-	SLC38A9
chr5	55031845	55035845	+	DDX4
chr5	55145207	55149207	+	IL31RA
chr5	55222569	55226569	-	AC008914.1
chr5	55288821	55292821	-	IL6ST
chr5	55527186	55531186	-	ANKRD55
chr5	55775773	55779773	-	CTC-236F12.4
chr5	55900059	55904059	-	AC022431.2
chr5	56109401	56113401	+	MAP3K1
chr5	56203087	56207087	+	SETD9
chr5	56265502	56269502	-	MIER3
chr5	56467775	56471775	+	GPBP1
chr5	56776636	56780636	-	ACTBL2
chr5	57754087	57758087	-	PLK2
chr5	57785262	57789262	+	GAPT
chr5	57852070	57856070	-	CTD-2117L12.1
chr5	57876048	57880048	+	RAB3C
chr5	59815947	59819947	-	PDE4D
chr5	59724565	59728565	+	FKSG52
chr5	59994017	59998017	-	DEPDC1B
chr5	60138216	60142216	-	ELOVL7
chr5	60238900	60242900	-	ERCC8
chr5	60238956	60242956	+	NDUFAF2
chr5	60409762	60413762	-	AC008498.1
chr5	60456301	60460301	-	SMIM15
chr5	60626100	60630100	+	ZSWIM6
chr5	60931535	60935535	+	C5orf64
chr5	61599989	61603989	+	KIF2A
chr5	61697766	61701766	-	DIMT1
chr5	61697799	61701799	+	IPO11
chr5	61806309	61810309	-	CKS1B
chr5	61872562	61876562	+	LRRC70
chr5	63256334	63260334	-	HTR1A
chr5	63459671	63463671	+	RNF180
chr5	63800084	63804084	+	RGS7BP
chr5	63984135	63988135	+	FAM159B
chr5	64062512	64066512	-	SREK1IP1
chr5	64062757	64066757	+	CWC27
chr5	64775747	64779747	-	ADAMTS6
chr5	64856998	64860998	-	CENPK
chr5	64857063	64861063	+	PPWD1
chr5	64919802	64923802	-	TRIM23
chr5	64918543	64922543	+	TRAPPC13
chr5	64918592	64922592	+	CTC-534A2.2
chr5	65016862	65020862	-	SGTB
chr5	65016023	65020023	+	NLN
chr5	65220303	65224303	+	ERBB2IP
chr5	65433799	65437799	+	SREK1
chr5	65890176	65894176	+	MAST4
chr5	66490627	66494627	-	CD180
chr5	67483704	67487704	+	RP11-404L6.2
chr5	67509548	67513548	+	PIK3R1
chr5	68387473	68391473	+	SLC30A5
chr5	68460837	68464837	+	CCNB1
chr5	68483375	68487375	+	CENPH
chr5	68511587	68515587	+	MRPS36
chr5	68528668	68532668	+	CDK7
chr5	68626636	68630636	-	CCDC125
chr5	68663840	68667840	-	TAF9
chr5	68663120	68667120	+	RAD17
chr5	68708939	68712939	+	MARVELD2
chr5	68786119	68790119	+	OCLN
chr5	68854035	68858035	+	GTF2H2C
chr5	69319074	69323074	+	SERF1B
chr5	69343350	69347350	+	SMN2
chr5	70194492	70198492	+	SERF1A
chr5	70218768	70222768	+	SMN1
chr5	70318941	70322941	-	NAIP
chr5	70361516	70365516	-	GTF2H2
chr5	70749442	70753442	+	BDP1
chr5	70881115	70885115	+	MCCC2
chr5	71012990	71016990	+	CARTPT
chr5	71401061	71405061	+	MAP1B
chr5	71614473	71618473	-	MRPS27
chr5	71614194	71618194	+	PTCD2
chr5	71801554	71805554	-	ZNF366
chr5	72110139	72114139	+	TNPO1
chr5	72249808	72253808	+	FCHO2
chr5	72414119	72418119	+	TMEM171
chr5	72467022	72471022	+	TMEM174
chr5	72742352	72746352	-	FOXD1
chr5	72792233	72796233	+	BTF3
chr5	72859511	72863511	-	ANKRA2
chr5	72859268	72863268	+	UTP15
chr5	72892203	72896203	+	AC008387.1
chr5	72919983	72923983	+	ARHGEF28
chr5	73935249	73939249	-	ENC1
chr5	73933848	73937848	+	HEXB
chr5	74061196	74065196	-	GFM2
chr5	74060817	74064817	+	NSA2
chr5	74160776	74164776	-	FAM169A
chr5	74324724	74328724	-	GCNT4
chr5	74530703	74534703	-	ANKRD31
chr5	74630154	74634154	+	HMGCR
chr5	74805963	74809963	-	COL4A3BP
chr5	74805581	74809581	+	POLK
chr5	74905284	74909284	+	ANKDD1B
chr5	75011313	75015313	-	POC5
chr5	75376997	75380997	+	SV2C
chr5	75697074	75701074	+	IQGAP2
chr5	75917259	75921259	-	F2RL2
chr5	76009868	76013868	+	F2R
chr5	76112758	76116758	+	F2RL1
chr5	76143826	76147826	+	S100Z
chr5	76246538	76250538	+	CRHBP
chr5	76323076	76327076	+	AGGF1
chr5	76381148	76385148	-	ZBED3
chr5	76504274	76508274	+	PDE8B
chr5	76914436	76918436	-	WDR41
chr5	76933513	76937513	-	OTP
chr5	77162604	77166604	-	TBCA
chr5	77588579	77592579	-	AP3B1
chr5	77654339	77658339	+	SCAMP1
chr5	78063844	78067844	-	LHFPL2
chr5	78279910	78283910	-	ARSB
chr5	78529861	78533861	-	DMGDH
chr5	78363540	78367540	+	BHMT2
chr5	78405602	78409602	+	BHMT
chr5	78521911	78525911	-	AC016559.1
chr5	78530012	78534012	+	JMY
chr5	78808040	78812040	-	HOMER1
chr5	78905943	78909943	+	PAPD4
chr5	78983700	78987700	+	CMYA5
chr5	79285082	79289082	-	MTX3
chr5	79285134	79289134	+	THBS4
chr5	79549898	79553898	-	SERINC5
chr5	79613444	79617444	+	SPZ1
chr5	79701832	79705832	+	ZFYVE16
chr5	79781788	79785788	+	FAM151B
chr5	79864307	79868307	-	ANKRD34B
chr5	79948802	79952802	-	DHFR
chr5	79944855	79948855	-	MTRNR2L2
chr5	79948467	79952467	+	MSH3
chr5	80254491	80258491	+	RASGRF2
chr5	80527104	80531104	+	CKMT2
chr5	80595409	80599409	+	ZCCHC9
chr5	80687998	80691998	-	ACOT12
chr5	81045616	81049616	-	SSBP2
chr5	81265844	81269844	+	ATG10
chr5	81572396	81576396	-	RPS23
chr5	81573281	81577281	+	ATP6AP1L
chr5	82371682	82375682	-	TMEM167A
chr5	82371317	82375317	+	XRCC4
chr5	82765284	82769284	+	VCAN
chr5	83015432	83019432	-	HAPLN1
chr5	83678611	83682611	-	EDIL3
chr5	85911721	85915721	+	COX7C
chr5	86532822	86536822	-	AC008394.1
chr5	86561705	86565705	+	RASA1
chr5	86706836	86710836	-	CCNH
chr5	87563293	87567293	-	TMEM161B
chr5	88197922	88201922	-	MEF2C
chr5	89703603	89707603	-	CETN3
chr5	89768585	89772585	-	MBLAC2
chr5	89765565	89769565	+	POLR3G
chr5	89823401	89827401	-	LYSMD3
chr5	89823161	89827161	+	GPR98
chr5	90677176	90681176	-	ARRDC3
chr5	92917043	92921043	+	NR2F1
chr5	93445404	93449404	-	FAM172A
chr5	93075343	93079343	-	POU5F2
chr5	93952309	93956309	-	KIAA0825
chr5	93952052	93956052	+	ANKRD32
chr5	94618279	94622279	-	MCTP1
chr5	94725048	94729048	+	FAM81B
chr5	94888711	94892711	-	TTC37
chr5	94888778	94892778	+	ARSK
chr5	94953782	94957782	+	GPR150
chr5	94980458	94984458	+	RFESD
chr5	95032415	95036415	-	SPATA9
chr5	95047226	95051226	+	RHOBTB3
chr5	95156709	95160709	-	GLRX
chr5	95185936	95189936	+	C5orf27
chr5	95295775	95299775	-	ELL2
chr5	95767847	95771847	-	PCSK1
chr5	95858971	95862971	+	CAST
chr5	96141803	96145803	-	ERAP1
chr5	96269513	96273513	-	CTD-2260A17.2
chr5	96209643	96213643	+	ERAP2
chr5	96269098	96273098	+	LNPEP
chr5	96422779	96426779	+	CTD-2215E18.1
chr5	96476576	96480576	-	LIX1
chr5	96516964	96520964	-	RIOK2
chr5	98102354	98106354	+	RGMB
chr5	98260240	98264240	-	CHD1
chr5	99869009	99873009	+	FAM174A
chr5	100236970	100240970	-	ST8SIA4
chr5	101630253	101634253	-	SLCO4C1
chr5	101567696	101571696	+	AC008948.1
chr5	101832720	101836720	-	SLCO6A1
chr5	102087685	102091685	+	PAM
chr5	102453855	102457855	-	GIN1
chr5	102453853	102457853	+	PPIP5K2
chr5	102592403	102596403	+	C5orf30
chr5	102896494	102900494	-	NUDT12
chr5	107004596	107008596	-	EFNA5
chr5	107715799	107719799	-	FBXL17
chr5	108081523	108085523	+	FER
chr5	108743695	108747695	-	PJA2
chr5	109023067	109027067	+	MAN2A1
chr5	109216883	109220883	+	AC011366.3
chr5	110072657	110076657	-	TMEM232
chr5	110071837	110075837	+	SLC25A46
chr5	110403760	110407760	+	TSLP
chr5	110425414	110429414	+	WDR36
chr5	110557351	110561351	+	CAMK4
chr5	110846288	110850288	-	STARD4
chr5	111331161	111335161	-	NREP
chr5	111753013	111757013	-	EPB41L4A
chr5	111753280	111757280	+	EPB41L4A-AS2
chr5	112041195	112045195	+	APC
chr5	112160910	112164910	+	CTC-554D6.1
chr5	112194885	112198885	+	CTC-487M23.8
chr5	112194919	112198919	+	SRP19
chr5	112256236	112260236	-	REEP5
chr5	112225313	112229313	+	ZRSR1
chr5	112310399	112314399	+	DCP2
chr5	112822527	112826527	-	MCC
chr5	112768728	112772728	-	TSSK1B
chr5	112847380	112851380	+	YTHDC2
chr5	113694642	113698642	+	KCNN2
chr5	114514243	114518243	-	TRIM36
chr5	114596569	114600569	-	PGGT1B
chr5	114630528	114634528	-	CCDC112
chr5	114878591	114882591	-	FEM1C
chr5	114959876	114963876	-	TICAM2
chr5	114959858	114963858	-	TMED7-TICAM2
chr5	114966689	114970689	-	TMED7
chr5	115150651	115154651	-	CDO1
chr5	115175555	115179555	-	ATG12
chr5	115175178	115179178	+	AP3S1
chr5	115296151	115300151	+	AQPEP
chr5	115356088	115360088	+	CTD-2287O16.3
chr5	115385163	115389163	+	ARL14EPL
chr5	115418688	115422688	+	COMMD10
chr5	115908630	115912630	-	SEMA6A
chr5	118322240	118326240	-	DTWD2
chr5	118371467	118375467	+	DMXL1
chr5	118602387	118606387	+	TNFAIP8
chr5	118786138	118790138	+	HSD17B4
chr5	118963254	118967254	+	FAM170A
chr5	119797973	119801973	+	PRR16
chr5	121185650	121189650	+	FTMT
chr5	121295656	121299656	+	SRFBP1
chr5	121411980	121415980	-	LOX
chr5	121463208	121467208	+	ZNF474
chr5	121645049	121649049	+	SNCAIP
chr5	122108691	122112691	+	SNX2
chr5	122177134	122181134	+	SNX24
chr5	122370436	122374436	-	PPIC
chr5	122422816	122426816	+	PRDM6
chr5	122757286	122761286	-	CEP120
chr5	122845793	122849793	+	CSNK1G3
chr5	124082500	124086500	-	ZNF608
chr5	125693824	125697824	+	GRAMD3
chr5	125929110	125933110	-	ALDH7A1
chr5	125933960	125937960	+	PHAX
chr5	125965414	125969414	+	C5orf48
chr5	126110315	126114315	+	LMNB1
chr5	126364500	126368500	-	MARCH3
chr5	126407184	126411184	-	C5orf63
chr5	126624523	126628523	+	MEGF10
chr5	126851301	126855301	+	PRRC1
chr5	126982736	126986736	+	CTXN3
chr5	127417458	127421458	+	SLC12A2
chr5	127992878	127996878	-	FBN2
chr5	127871706	127875706	+	SLC27A6
chr5	128428444	128432444	+	ISOC1
chr5	128793958	128797958	+	ADAMTS19
chr5	129081772	129085772	+	KIAA1024L
chr5	129238165	129242165	+	CHSY3
chr5	130505428	130509428	-	HINT1
chr5	130504503	130508503	+	LYRM7
chr5	130579186	130583186	+	CDC42SE2
chr5	130968929	130972929	-	RAPGEF6
chr5	131130676	131134676	-	CTC-432M15.3
chr5	131130710	131134710	-	FNIP1
chr5	131345936	131349936	-	ACSL6
chr5	131394222	131398222	+	IL3
chr5	131407483	131411483	+	CSF2
chr5	131629008	131633008	-	P4HA2
chr5	131591364	131595364	+	PDLIM4
chr5	131628136	131632136	+	SLC22A4
chr5	131703444	131707444	+	SLC22A5
chr5	131744328	131748328	+	C5orf56
chr5	131824490	131828490	-	IRF1
chr5	131890530	131894530	-	IL5
chr5	131889711	131893711	+	RAD50
chr5	131989955	131993955	+	IL13
chr5	132007678	132011678	+	IL4
chr5	132071330	132075330	-	KIF3A
chr5	132081137	132085137	+	CCNI2
chr5	132140933	132144933	-	SEPT8
chr5	132147033	132151033	+	SOWAHA
chr5	132164590	132168590	-	SHROOM1
chr5	132200576	132204576	-	GDF9
chr5	132200252	132204252	+	UQCRQ
chr5	132206014	132210014	+	LEAP2
chr5	132297326	132301326	-	AFF4
chr5	132360296	132364296	-	ZCCHC10
chr5	132385654	132389654	+	HSPA4
chr5	132946255	132950255	-	FSTL4
chr5	133302478	133306478	-	C5orf15
chr5	133338824	133342824	-	VDAC1
chr5	133448402	133452402	+	TCF7
chr5	133510729	133514729	-	SKP1
chr5	133559762	133563762	-	CTD-2410N18.5
chr5	133559833	133563833	-	PPP2CA
chr5	133704738	133708738	-	CDKL3
chr5	133704870	133708870	+	UBE2B
chr5	133745589	133749589	-	CDKN2AIPNL
chr5	133858003	133862003	+	PHF15
chr5	133982961	133986961	-	SAR1B
chr5	133982479	133986479	+	SEC24A
chr5	134072191	134076191	+	CAMLG
chr5	134092469	134096469	+	DDX46
chr5	134179370	134183370	+	C5orf24
chr5	134207493	134211493	+	TXNDC15
chr5	134238596	134242596	+	PCBD2
chr5	134301596	134305596	+	CATSPER3
chr5	134368503	134372503	-	PITX1
chr5	134366970	134370970	+	CTC-349C3.1
chr5	134733604	134737604	-	H2AFY
chr5	134781038	134785038	-	C5orf20
chr5	134786089	134790089	-	TIFAB
chr5	134869639	134873639	-	NEUROG1
chr5	134912969	134916969	-	CXCL14
chr5	135168338	135172338	+	SLC25A48
chr5	135229516	135233516	-	IL9
chr5	135288723	135292723	-	LECT2
chr5	135362584	135366584	+	TGFBI
chr5	135466534	135470534	+	SMAD5
chr5	135730730	135734730	-	TRPC7
chr5	136932068	136936068	-	SPOCK1
chr5	137069779	137073779	-	KLHL3
chr5	137088039	137092039	-	HNRNPA0
chr5	137201480	137205480	+	MYOT
chr5	137221657	137225657	+	PKD2L2
chr5	137385650	137389650	-	FAM13B
chr5	137417581	137421581	+	WNT8A
chr5	137473132	137477132	-	NME5
chr5	137512675	137516675	-	BRD8
chr5	137512408	137516408	+	KIF20A
chr5	137547032	137551032	-	CDC23
chr5	137608360	137612360	-	GFRA3
chr5	137672044	137676044	-	CDC25C
chr5	137665624	137669624	+	FAM53C
chr5	137686285	137690285	+	KDM3B
chr5	137772706	137776706	+	REEP2
chr5	137799179	137803179	+	EGR1
chr5	137876989	137880989	-	ETF1
chr5	137909133	137913133	-	HSPA9
chr5	137944656	137948656	+	CTNNA1
chr5	138209057	138213057	-	LRRTM2
chr5	138627246	138631246	-	SIL1
chr5	138607441	138611441	+	MATR3
chr5	138675276	138679276	+	PAIP2
chr5	138718242	138722242	-	SLC23A1
chr5	138723770	138727770	-	MZB1
chr5	138728885	138732885	-	PROB1
chr5	138737777	138741777	-	SPATA24
chr5	138778180	138782180	-	DNAJC18
chr5	138840328	138844328	-	ECSCR
chr5	138850108	138854108	+	AC138517.1
chr5	138860520	138864520	-	TMEM173
chr5	138904016	138908016	+	UBE2D2
chr5	139024884	139028884	+	CXXC5
chr5	139173406	139177406	+	PSD2
chr5	139420884	139424884	-	NRG2
chr5	139485362	139489362	+	PURA
chr5	139503521	139507521	+	IGIP
chr5	139552227	139556227	+	CYSTM1
chr5	139680706	139684706	-	PFDN1
chr5	139724216	139728216	-	HBEGF
chr5	139737787	139741787	+	SLC4A9
chr5	139779399	139783399	+	ANKHD1
chr5	139779493	139783493	+	ANKHD1-EIF4EBP3
chr5	139935895	139939895	-	SRA1
chr5	139925251	139929251	+	EIF4EBP3
chr5	139971337	139975337	-	APBB3
chr5	139942041	139946041	+	SLC35A4
chr5	140011286	140015286	-	CD14
chr5	140025370	140029370	-	NDUFA2
chr5	140017012	140021012	+	TMCO6
chr5	140024643	140028643	+	IK
chr5	140042261	140046261	+	WDR55
chr5	140051171	140055171	-	DND1
chr5	140069609	140073609	-	HARS
chr5	140069011	140073011	+	HARS2
chr5	140076265	140080265	+	ZMAT2
chr5	140163876	140167876	+	PCDHA1
chr5	140172444	140176444	+	PCDHA2
chr5	140178783	140182783	+	PCDHA3
chr5	140184659	140188659	+	PCDHA4
chr5	140199222	140203222	+	PCDHA5
chr5	140205563	140209563	+	PCDHA6
chr5	140211969	140215969	+	PCDHA7
chr5	140218907	140222907	+	PCDHA8
chr5	140225048	140229048	+	PCDHA9
chr5	140233595	140237595	+	PCDHA10
chr5	140241224	140245224	-	AC005609.1
chr5	140246689	140250689	+	PCDHA11
chr5	140253058	140257058	+	PCDHA12
chr5	140259793	140263793	+	PCDHA13
chr5	140304302	140308302	+	PCDHAC1
chr5	140343820	140347820	+	PCDHAC2
chr5	140428979	140432979	+	PCDHB1
chr5	140472227	140476227	+	PCDHB2
chr5	140478234	140482234	+	PCDHB3
chr5	140499581	140503581	+	PCDHB4
chr5	140512800	140516800	+	PCDHB5
chr5	140527683	140531683	+	PCDHB6
chr5	140533577	140537577	+	PCDHB17
chr5	140550243	140554243	+	PCDHB7
chr5	140555371	140559371	+	PCDHB8
chr5	140558980	140562980	+	PCDHB16
chr5	140569942	140573942	+	PCDHB10
chr5	140577183	140581183	+	PCDHB11
chr5	140586269	140590269	+	PCDHB12
chr5	140591509	140595509	+	PCDHB13
chr5	140600931	140604931	+	PCDHB14
chr5	140623147	140627147	+	PCDHB15
chr5	140681612	140685612	-	SLC25A2
chr5	140698330	140702330	-	TAF7
chr5	140708252	140712252	+	PCDHGA1
chr5	140716539	140720539	+	PCDHGA2
chr5	140721601	140725601	+	PCDHGA3
chr5	140727828	140731828	+	PCDHGB1
chr5	140732768	140736768	+	PCDHGA4
chr5	140737703	140741703	+	PCDHGB2
chr5	140741898	140745898	+	PCDHGA5
chr5	140747831	140751831	+	PCDHGB3
chr5	140751651	140755651	+	PCDHGA6
chr5	140760467	140764467	+	PCDHGA7
chr5	140765452	140769452	+	PCDHGB4
chr5	140770381	140774381	+	PCDHGA8
chr5	140780520	140784520	+	PCDHGA9
chr5	140785770	140789770	+	PCDHGB6
chr5	140790743	140794743	+	PCDHGA10
chr5	140795427	140799427	+	PCDHGB7
chr5	140798762	140802762	+	PCDHGA11
chr5	140808185	140812185	+	PCDHGA12
chr5	140853580	140857580	+	PCDHGC3
chr5	140862741	140866741	+	PCDHGC4
chr5	140866808	140870808	+	PCDHGC5
chr5	140996622	141000622	-	DIAPH1
chr5	141014437	141018437	-	HDAC3
chr5	141014517	141018517	+	RELL2
chr5	141028986	141032986	-	FCHSD1
chr5	141059788	141063788	-	ARAP3
chr5	141256811	141260811	-	PCDH1
chr5	141301373	141305373	+	KIAA0141
chr5	141347304	141351304	-	PCDH12
chr5	141335893	141339893	+	RNF14
chr5	141390606	141394606	-	GNPDA1
chr5	141486070	141490070	+	NDFIP1
chr5	141704020	141708020	-	SPRY4
chr5	142075617	142079617	-	FGF1
chr5	142147949	142151949	+	ARHGAP26
chr5	142813077	142817077	-	NR3C1
chr5	143189726	143193726	+	HMHB1
chr5	143548278	143552278	-	YIPF5
chr5	143548396	143552396	+	KCTD16
chr5	145212932	145216932	-	PRELID2
chr5	145250531	145254531	-	GRXCR2
chr5	145314142	145318142	+	SH3RF2
chr5	145481932	145485932	-	PLAC8L1
chr5	145560223	145564223	-	LARS
chr5	145581113	145585113	+	RBM27
chr5	145716587	145720587	+	POU4F3
chr5	145824874	145828874	+	TCERG1
chr5	145893753	145897753	-	GPR151
chr5	146462347	146466347	-	PPP2R2B
chr5	146612526	146616526	+	STK32A
chr5	146887619	146891619	-	DPYSL3
chr5	147160338	147164338	-	JAKMIP2
chr5	147209349	147213349	-	SPINK1
chr5	147248245	147252245	+	SCGB3A2
chr5	147284101	147288101	-	C5orf46
chr5	147403246	147407246	+	SPINK5
chr5	147547296	147551296	+	SPINK14
chr5	147580357	147584357	+	SPINK6
chr5	147645743	147649743	+	SPINK13
chr5	147689982	147693982	+	SPINK7
chr5	147696550	147700550	+	AC091948.1
chr5	147698766	147702766	+	SPINK9
chr5	147761498	147765498	+	FBXO38
chr5	148054798	148058798	-	HTR4
chr5	148204156	148208156	+	ADRB2
chr5	148440726	148444726	-	SH3TC2
chr5	148519046	148523046	+	ABLIM3
chr5	148649434	148653434	+	AFAP1L1
chr5	148722993	148726993	+	GRPEL2
chr5	148735570	148739570	+	PCYOX1L
chr5	148781765	148785765	-	IL17B
chr5	148929007	148933007	-	CSNK1A1
chr5	148929510	148933510	+	ARHGEF37
chr5	149107861	149111861	+	PPARGC1B
chr5	149322356	149326356	-	PDE6A
chr5	149338300	149342300	+	SLC26A2
chr5	149378730	149382730	-	TIGD6
chr5	149377884	149381884	+	HMGXB3
chr5	149490935	149494935	-	CSF1R
chr5	149533435	149537435	-	PDGFRB
chr5	149544358	149548358	+	CDX1
chr5	149567520	149571520	+	SLC6A7
chr5	149667854	149671854	-	CAMK2A
chr5	149716870	149720870	-	ARSI
chr5	149735202	149739202	+	TCOF1
chr5	149790492	149794492	-	CD74
chr5	149827319	149831319	-	RPS14
chr5	149863381	149867381	+	NDST1
chr5	149978642	149982642	+	SYNPO
chr5	150038436	150042436	+	MYOZ3
chr5	150078669	150082669	-	RBM22
chr5	150136671	150140671	-	DCTN4
chr5	150155508	150159508	+	SMIM3
chr5	150155867	150159867	+	AC010441.1
chr5	150224085	150228085	+	IRGM
chr5	150282545	150286545	-	ZNF300
chr5	150398124	150402124	+	GPX3
chr5	150471138	150475138	-	TNIP1
chr5	150535443	150539443	-	ANXA6
chr5	150601706	150605706	-	CCDC69
chr5	150589711	150593711	+	GM2A
chr5	150681327	150685327	-	SLC36A3
chr5	150725151	150729151	-	SLC36A2
chr5	150814607	150818607	+	SLC36A1
chr5	150946505	150950505	-	FAT2
chr5	151064726	151068726	-	SPARC
chr5	151150093	151154093	-	ATOX1
chr5	151148606	151152606	+	G3BP1
chr5	151302403	151306403	-	GLRA1
chr5	151810929	151814929	-	NMUR2
chr5	152867175	152871175	+	GRIA1
chr5	153416496	153420496	-	FAM114A2
chr5	153416466	153420466	+	MFAP3
chr5	153568290	153572290	+	GALNT10
chr5	153823517	153827517	+	SAP30L
chr5	153855824	153859824	-	HAND1
chr5	154090462	154094462	+	LARP1
chr5	154236812	154240812	-	FAXDC2
chr5	154235113	154239113	+	CNOT8
chr5	154315769	154319769	-	GEMIN5
chr5	154318630	154322630	+	MRPL22
chr5	154391260	154395260	+	KIF4B
chr5	155295354	155299354	+	SGCD
chr5	156388266	156392266	-	TIMD4
chr5	156484130	156488130	-	HAVCR1
chr5	156567880	156571880	-	HAVCR2
chr5	156584030	156588030	-	MED7
chr5	156567944	156571944	+	ITK
chr5	156591275	156595275	-	FAM71B
