chr	start_promoter	end_promoter	strand	gene_name	gene_id
chr12	2857680	2877174	-	FOXM1	ENSG00000111206.13
chr12	2876258	2889524	+	RHNO1	ENSG00000171792.11
chr12	2877223	2941138	+	TULP3	ENSG00000078246.17
chr12	2959330	3040676	+	TEAD4	ENSG00000197905.9
chr12	3077355	3286564	+	TSPAN9	ENSG00000011105.14
chr12	3381349	3593973	+	PRMT8	ENSG00000111218.12
chr12	3606633	3764819	-	CRACR2A	ENSG00000130038.10
chr12	3791047	3873448	-	PARP11	ENSG00000111224.14
chr12	4273762	4305353	+	CCND2	ENSG00000118971.8
chr12	4273762	4405490	+	AC008012.1	ENSG00000285901.1
chr12	4307763	4360028	+	TIGAR	ENSG00000078237.7
chr12	4368227	4379712	-	FGF23	ENSG00000118972.3
chr12	4428155	4445614	-	FGF6	ENSG00000111241.2
chr12	4487735	4538508	-	C12orf4	ENSG00000047621.12
chr12	4538798	4560048	+	RAD51AP1	ENSG00000111247.14
chr12	4562204	4615302	+	DYRK4	ENSG00000010219.13
chr12	4604944	4662643	+	AC005832.4	ENSG00000272921.1
chr12	4615508	4649051	-	AKAP3	ENSG00000111254.8
chr12	4649095	4694317	+	NDUFA9	ENSG00000139180.11
chr12	4649101	4774184	+	AC005833.1	ENSG00000255639.3
chr12	4720400	4851927	+	GALNT8	ENSG00000130035.8
chr12	4809176	4813412	+	KCNA6	ENSG00000151079.7
chr12	4909905	4918256	+	KCNA1	ENSG00000111262.6
chr12	5043879	5046788	+	KCNA5	ENSG00000130037.5
chr12	5432108	5521536	+	NTF3	ENSG00000185652.12
chr12	5531869	5946232	-	ANO2	ENSG00000047617.15
chr12	5948874	6124770	-	VWF	ENSG00000110799.13
chr12	6199715	6238271	+	CD9	ENSG00000010278.14
chr12	6310436	6328506	+	PLEKHG6	ENSG00000008323.15
chr12	6328757	6342114	-	TNFRSF1A	ENSG00000067182.8
chr12	6346843	6377730	-	SCNN1A	ENSG00000111319.13
chr12	6375045	6391571	+	LTBR	ENSG00000111321.11
chr12	6444867	6451718	+	CD27	ENSG00000139193.3
chr12	6451690	6466517	+	TAPBPL	ENSG00000139192.12
chr12	6462237	6470987	-	VAMP1	ENSG00000139190.16
chr12	6491886	6493841	-	MRPL51	ENSG00000111639.8
chr12	6493356	6531955	+	NCAPD2	ENSG00000010292.13
chr12	6534512	6538374	+	GAPDH	ENSG00000111640.15
chr12	6538375	6556083	-	IFFO1	ENSG00000010295.19
chr12	6556863	6568691	-	NOP2	ENSG00000111641.12
chr12	6556886	6607367	-	AC006064.6	ENSG00000285238.2
chr12	6570082	6614524	-	CHD4	ENSG00000111642.16
chr12	6618835	6635960	-	LPAR5	ENSG00000184574.10
chr12	6638075	6647433	-	ACRBP	ENSG00000111644.8
chr12	6650301	6663142	-	ING4	ENSG00000111653.20
chr12	6666477	6689572	-	ZNF384	ENSG00000126746.17
chr12	6693792	6700800	-	PIANP	ENSG00000139200.13
chr12	6724014	6731875	+	COPS7A	ENSG00000111652.10
chr12	6747996	6767475	-	MLF2	ENSG00000089693.10
chr12	6765516	6770952	+	PTMS	ENSG00000159335.17
chr12	6772512	6778455	+	LAG3	ENSG00000089692.9
chr12	6786858	6820799	+	CD4	ENSG00000010610.10
chr12	6821624	6829972	+	GPR162	ENSG00000250510.8
chr12	6828407	6839847	+	P3H3	ENSG00000110811.20
chr12	6839954	6847393	+	GNB3	ENSG00000111664.10
chr12	6844793	6852066	-	CDCA3	ENSG00000111665.11
chr12	6852128	6866632	+	USP5	ENSG00000111667.13
chr12	6867119	6870948	+	TPI1	ENSG00000111669.15
chr12	6870935	6889358	-	SPSB2	ENSG00000111671.9
chr12	6873569	6914241	+	LRRC23	ENSG00000010626.15
chr12	6913745	6923698	+	ENO2	ENSG00000111674.9
chr12	6924463	6942321	+	ATN1	ENSG00000111676.15
chr12	6942978	6946003	+	C12orf57	ENSG00000111678.11
chr12	6946468	6961316	+	PTPN6	ENSG00000111679.17
chr12	6965327	6970753	-	PHB2	ENSG00000215021.9
chr12	6970913	6997428	+	EMG1	ENSG00000126749.16
chr12	6976185	7018477	-	LPCAT3	ENSG00000111684.11
chr12	6988259	7071032	+	C1S	ENSG00000182326.15
chr12	7080214	7092540	-	C1R	ENSG00000159403.18
chr12	7089587	7109238	-	C1RL	ENSG00000139178.11
chr12	7115736	7128889	-	RBP5	ENSG00000139194.8
chr12	7129698	7158945	+	CLSTN3	ENSG00000139182.15
chr12	7188685	7218574	+	PEX5	ENSG00000139197.10
chr12	7304284	7328724	+	ACSM4	ENSG00000215009.5
chr12	7346685	7479897	-	CD163L1	ENSG00000177675.8
chr12	7470813	7503893	-	CD163	ENSG00000177575.12
chr12	7649400	7665908	-	APOBEC1	ENSG00000111701.7
chr12	7689784	7695775	-	GDF3	ENSG00000184344.4
chr12	7711433	7717559	+	DPPA3	ENSG00000187569.3
chr12	7729415	7751605	-	CLEC4C	ENSG00000198178.10
chr12	7765216	7774121	+	NANOGNB	ENSG00000205857.2
chr12	7787794	7799146	+	NANOG	ENSG00000111704.11
chr12	7812512	7891148	-	SLC2A14	ENSG00000173262.11
chr12	7919230	7936187	-	SLC2A3	ENSG00000059804.16
chr12	8032716	8055517	+	FOXJ2	ENSG00000065970.9
chr12	8056844	8066359	-	C3AR1	ENSG00000171860.5
chr12	8076939	8097881	+	NECAP1	ENSG00000089818.18
chr12	8123632	8138607	+	CLEC4A	ENSG00000111729.14
chr12	8138140	8175320	+	AC092111.3	ENSG00000284393.1
chr12	8157034	8188537	+	ZNF705A	ENSG00000196946.10
chr12	8221260	8227618	-	FAM90A1	ENSG00000171847.11
chr12	8455962	8478330	+	CLEC6A	ENSG00000205846.4
chr12	8509475	8522366	+	CLEC4D	ENSG00000166527.8
chr12	8533305	8540905	-	CLEC4E	ENSG00000166523.8
chr12	8602170	8612867	-	AICDA	ENSG00000111732.11
chr12	8637346	8662888	-	MFAP5	ENSG00000197614.11
chr12	8681600	8783095	+	RIMKLB	ENSG00000166532.16
chr12	8822621	8887001	+	A2ML1	ENSG00000166535.20
chr12	8913896	8941467	+	PHC1	ENSG00000111752.11
chr12	8940361	8949761	-	M6PR	ENSG00000003056.8
chr12	8950044	9010760	+	KLRG1	ENSG00000139187.10
chr12	9067664	9116229	-	A2M	ENSG00000175899.15
chr12	9148840	9208395	-	PZP	ENSG00000126838.10
chr12	9594551	9607916	-	KLRB1	ENSG00000111796.4
chr12	9664969	9699553	+	CLEC2D	ENSG00000069493.15
chr12	9715860	9733299	-	CLECL1	ENSG00000184293.7
chr12	9752486	9760901	-	CD69	ENSG00000110848.8
chr12	9827481	9845007	+	KLRF1	ENSG00000150045.12
chr12	9852984	9870136	-	CLEC2B	ENSG00000110852.4
chr12	9881489	9895833	+	KLRF2	ENSG00000256797.1
chr12	9898673	9932370	-	CLEC2A	ENSG00000188393.9
chr12	9951316	9995694	+	CLEC12A	ENSG00000172322.14
chr12	9985642	10013424	-	CLEC1B	ENSG00000165682.14
chr12	10010627	10018796	+	CLEC12B	ENSG00000256660.6
chr12	10030678	10066031	+	CLEC9A	ENSG00000197992.7
chr12	10069554	10111627	-	CLEC1A	ENSG00000150048.10
chr12	10116777	10130258	-	CLEC7A	ENSG00000172243.18
chr12	10158301	10172138	-	OLR1	ENSG00000173391.9
chr12	10170542	10191801	+	TMEM52B	ENSG00000165685.8
chr12	10212458	10223128	+	GABARAPL1	ENSG00000139112.11
chr12	10226058	10329608	+	KLRD1	ENSG00000134539.17
chr12	10372353	10391874	-	KLRK1	ENSG00000213809.9
chr12	10372353	10410146	-	KLRC4-KLRK1	ENSG00000255819.7
chr12	10407382	10409757	-	KLRC4	ENSG00000183542.5
chr12	10412312	10436001	-	AC068775.1	ENSG00000255641.1
chr12	10412315	10420595	-	KLRC3	ENSG00000205810.9
chr12	10426854	10442300	-	KLRC2	ENSG00000205809.9
chr12	10442264	10454685	-	KLRC1	ENSG00000134545.13
chr12	10505602	10523135	+	EIF2S3B	ENSG00000180574.3
chr12	10604193	10613609	-	MAGOHB	ENSG00000111196.10
chr12	10618923	10674318	-	STYK1	ENSG00000060140.9
chr12	10699089	10723323	-	YBX3	ENSG00000060138.13
chr12	10801532	10802627	-	TAS2R7	ENSG00000121377.2
chr12	10806051	10807293	-	TAS2R8	ENSG00000121314.2
chr12	10809094	10810168	-	TAS2R9	ENSG00000121381.4
chr12	10824960	11171608	-	PRH1	ENSG00000231887.7
chr12	10825317	10826358	-	TAS2R10	ENSG00000121318.2
chr12	10845849	10849475	-	PRR4	ENSG00000111215.12
chr12	10845849	11171600	-	AC018630.2	ENSG00000275778.2
chr12	10907926	10909562	-	TAS2R13	ENSG00000212128.2
chr12	10929236	10934845	+	PRH2	ENSG00000134551.13
chr12	10937408	11171573	-	TAS2R14	ENSG00000212127.6
chr12	10985913	10986912	-	TAS2R50	ENSG00000212126.3
chr12	10996495	10997875	-	TAS2R20	ENSG00000255837.1
chr12	11021619	11022620	-	TAS2R19	ENSG00000212124.2
chr12	11030387	11031407	-	TAS2R31	ENSG00000256436.1
chr12	11061365	11062294	-	TAS2R46	ENSG00000226761.3
chr12	11091287	11092313	-	TAS2R45	ENSG00000255374.3
chr12	11132958	11134644	-	TAS2R30	ENSG00000256188.3
chr12	11171194	11176016	+	SMIM10L1	ENSG00000256537.5
chr12	11185993	11186937	-	TAS2R42	ENSG00000186136.1
chr12	11265924	11269805	-	PRB3	ENSG00000197870.12
chr12	11307077	11310436	-	PRB4	ENSG00000230657.8
chr12	11351823	11395566	-	PRB1	ENSG00000251655.6
chr12	11391540	11501041	-	PRB2	ENSG00000121335.12
chr12	11649674	11895377	+	ETV6	ENSG00000139083.11
chr12	12049844	12211084	+	BCL2L14	ENSG00000121380.12
chr12	12116025	12267044	-	LRP6	ENSG00000070018.9
chr12	12326056	12350242	-	MANSC1	ENSG00000111261.14
chr12	12357078	12471233	+	BORCS5	ENSG00000165714.11
chr12	12473282	12562863	-	DUSP16	ENSG00000111266.9
chr12	12611827	12645108	+	CREBL2	ENSG00000111269.3
chr12	12660890	12696207	-	GPR19	ENSG00000183150.8
chr12	12715058	12722369	+	CDKN1B	ENSG00000111276.11
chr12	12725917	12829975	+	APOLD1	ENSG00000178878.12
chr12	12813316	12829981	+	DDX47	ENSG00000213782.7
chr12	12891559	12917937	+	GPRC5A	ENSG00000013588.9
chr12	12940775	12952147	-	GPRC5D	ENSG00000111291.8
chr12	12974870	13000265	-	HEBP1	ENSG00000013583.10
chr12	13044381	13142521	+	FAM234B	ENSG00000084444.14
chr12	13083532	13103683	-	GSG1	ENSG00000111305.19
chr12	13196723	13219941	+	EMP1	ENSG00000134531.10
chr12	13437942	13981957	-	GRIN2B	ENSG00000273079.5
chr12	14365632	14502935	+	ATF7IP	ENSG00000171681.12
chr12	14503661	14567883	-	PLBD1	ENSG00000121316.11
chr12	14612632	14696599	-	GUCY2C	ENSG00000070019.5
chr12	14767999	14771131	-	H4-16	ENSG00000197837.3
chr12	14774383	14778002	+	H2AJ	ENSG00000246705.4
chr12	14784582	14803486	-	WBP11	ENSG00000084463.8
chr12	14803666	14906586	+	C12orf60	ENSG00000182993.5
chr12	14804650	14814182	-	SMCO3	ENSG00000179256.2
chr12	14825569	14843526	-	ART4	ENSG00000111339.12
chr12	14880864	14885857	-	MGP	ENSG00000111341.10
chr12	14914039	14938537	-	ERP27	ENSG00000139055.7
chr12	14942031	14961728	-	ARHGDIB	ENSG00000111348.9
chr12	14973042	14981865	+	PDE6H	ENSG00000139053.3
chr12	15107783	15348675	-	RERG	ENSG00000134533.6
chr12	15322257	15602175	+	PTPRO	ENSG00000151490.15
chr12	15620134	15882329	-	EPS8	ENSG00000151491.14
chr12	15882387	15903478	+	STRAP	ENSG00000023734.11
chr12	15911302	16037381	+	DERA	ENSG00000023697.13
chr12	16188485	16277685	-	SLC15A5	ENSG00000188991.3
chr12	16347142	16609259	+	MGST1	ENSG00000008394.13
chr12	16548372	16610594	-	LMO3	ENSG00000048540.15
chr12	18080869	18320107	-	RERGL	ENSG00000111404.6
chr12	18247614	18648416	+	PIK3C2G	ENSG00000139144.10
chr12	18683169	18738100	-	PLCZ1	ENSG00000139151.16
chr12	18738119	18739188	+	CAPZA3	ENSG00000177938.5
chr12	19129752	19376400	+	PLEKHA5	ENSG00000052126.14
chr12	19404045	19720801	+	AEBP2	ENSG00000139154.16
chr12	20369245	20684381	+	PDE3A	ENSG00000172572.6
chr12	20695355	20753386	+	SLCO1C1	ENSG00000139155.8
chr12	20810702	20916911	+	SLCO1B3	ENSG00000111700.13
chr12	20815674	21090245	+	SLCO1B3-SLCO1B7	ENSG00000257046.5
chr12	21047179	21176895	+	AC022335.1	ENSG00000257062.6
chr12	21131194	21239796	+	SLCO1B1	ENSG00000134538.3
chr12	21264600	21419594	-	SLCO1A2	ENSG00000084453.16
chr12	21354959	21379980	+	IAPP	ENSG00000121351.8
chr12	21437615	21471250	+	PYROXD1	ENSG00000121350.16
chr12	21468910	21501669	-	RECQL	ENSG00000004700.16
chr12	21501781	21518408	+	GOLT1B	ENSG00000111711.10
chr12	21526296	21541249	+	SPX	ENSG00000134548.11
chr12	21536107	21604847	-	GYS2	ENSG00000111713.3
chr12	21536203	21657798	-	AC010197.2	ENSG00000285854.1
chr12	21635342	21757857	-	LDHB	ENSG00000111716.14
chr12	21764955	21775600	-	KCNJ8	ENSG00000121361.5
chr12	21797401	21942529	-	ABCC9	ENSG00000069431.11
chr12	22046218	22065674	+	CMAS	ENSG00000111726.13
chr12	22063773	22437041	-	ST8SIA1	ENSG00000111728.10
chr12	22448583	22544546	-	C2CD5	ENSG00000111731.12
chr12	22625075	22690665	+	ETNK1	ENSG00000139163.16
chr12	23529504	24562544	-	SOX5	ENSG00000134532.19
chr12	24810024	24949101	-	BCAT1	ENSG00000060982.15
chr12	25004342	25108334	+	LRMP	ENSG00000118308.15
chr12	25108289	25195162	-	CASC1	ENSG00000118307.19
chr12	25195216	25209645	+	ETFRF1	ENSG00000205707.11
chr12	25205246	25250936	-	KRAS	ENSG00000133703.13
chr12	25409307	25648579	-	LMNTD1	ENSG00000152936.10
chr12	25959029	26079892	+	RASSF8	ENSG00000123094.15
chr12	26120030	26125037	-	BHLHE41	ENSG00000123095.6
chr12	26121991	26299290	+	SSPN	ENSG00000123096.11
chr12	26335352	26833194	-	ITPR2	ENSG00000123104.12
chr12	26905181	26938326	-	INTS13	ENSG00000064102.15
chr12	26938470	26966650	+	FGFR1OP2	ENSG00000111790.14
chr12	26971579	27014434	-	TM7SF3	ENSG00000064115.11
chr12	27022546	27066343	+	MED21	ENSG00000152944.9
chr12	27081058	27082514	-	C12orf71	ENSG00000214700.5
chr12	27243968	27325959	+	STK38L	ENSG00000211455.8
chr12	27332854	27425289	+	ARNTL2	ENSG00000029153.14
chr12	27466810	27502185	+	SMCO2	ENSG00000165935.9
chr12	27523431	27695564	+	PPFIBP1	ENSG00000110841.14
chr12	27696447	27697596	+	REP15	ENSG00000174236.4
chr12	27710822	27756295	+	MRPS35	ENSG00000061794.13
chr12	27762738	27771276	-	MANSC4	ENSG00000205693.3
chr12	27780048	27803040	+	KLHL42	ENSG00000087448.11
chr12	27958084	27972733	-	PTHLH	ENSG00000087494.16
chr12	28133249	28581511	+	CCDC91	ENSG00000123106.10
chr12	29149103	29340980	+	FAR2	ENSG00000064763.11
chr12	29337352	29381189	-	ERGIC2	ENSG00000087502.18
chr12	29412474	29497686	-	OVCH1	ENSG00000187950.8
chr12	29500840	29784759	-	TMTC1	ENSG00000133687.16
chr12	30628988	30695869	-	IPO8	ENSG00000133704.10
chr12	30709552	30754951	-	CAPRIN2	ENSG00000110888.17
chr12	30926428	30996602	+	TSPAN11	ENSG00000110900.15
chr12	31073860	31104799	+	DDX11	ENSG00000013573.17
chr12	31280584	31327058	-	SINHCAF	ENSG00000139146.14
chr12	31382226	31591136	-	DENND5B	ENSG00000170456.16
chr12	31647160	31673114	+	ETFBKMT	ENSG00000139160.13
chr12	31671142	31729121	-	AMN1	ENSG00000151743.11
chr12	31791185	31792298	-	H3-5	ENSG00000188375.5
chr12	31959370	31993107	+	RESF1	ENSG00000174718.12
chr12	32106835	32383633	+	BICD1	ENSG00000151746.15
chr12	32399529	32646050	+	FGD4	ENSG00000139132.14
chr12	32679200	32745650	+	DNM1L	ENSG00000087470.18
chr12	32727490	32755897	-	YARS2	ENSG00000139131.13
chr12	32790755	32896777	-	PKP2	ENSG00000057294.15
chr12	33374238	33439819	-	SYT10	ENSG00000110975.8
chr12	34022468	34029694	+	ALG10	ENSG00000139133.7
chr12	38316762	38329721	+	ALG10B	ENSG00000175548.9
chr12	38646822	38907430	-	CPNE8	ENSG00000139117.14
chr12	39293228	39443390	-	KIF21A	ENSG00000139116.18
chr12	39550033	39619803	-	ABCD2	ENSG00000173208.4
chr12	39626167	39908300	+	C12orf40	ENSG00000180116.15
chr12	39755025	40106089	-	SLC2A13	ENSG00000151229.13
chr12	40196744	40369285	+	LRRK2	ENSG00000188906.16
chr12	40393395	40570832	+	MUC19	ENSG00000205592.14
chr12	40692439	41072415	+	CNTN1	ENSG00000018236.15
chr12	41188320	41574745	+	PDZRN4	ENSG00000165966.16
chr12	42081845	42144874	-	GXYLT1	ENSG00000151233.11
chr12	42157104	42238349	-	YAF2	ENSG00000015153.14
chr12	42238447	42459715	+	PPHLN1	ENSG00000134283.18
chr12	42312086	42326118	-	ZCRB1	ENSG00000139168.8
chr12	42456757	42590355	-	PRICKLE1	ENSG00000139174.12
chr12	43353866	43552203	-	ADAMTS20	ENSG00000173157.17
chr12	43718993	43758817	-	PUS7L	ENSG00000129317.14
chr12	43758944	43789543	+	IRAK4	ENSG00000198001.14
chr12	43793723	43806375	-	TWF1	ENSG00000151239.13
chr12	43835967	44389762	+	TMEM117	ENSG00000139173.10
chr12	44508275	44921848	-	NELL2	ENSG00000184613.10
chr12	45014672	45051099	-	DBX2	ENSG00000185610.6
chr12	45215987	45440404	+	ANO6	ENSG00000177119.16
chr12	45729706	45908040	+	ARID2	ENSG00000189079.17
chr12	45919131	45992120	-	SCAF11	ENSG00000139218.18
chr12	46183063	46270017	-	SLC38A1	ENSG00000111371.16
chr12	46358188	46372773	-	SLC38A2	ENSG00000134294.14
chr12	46764761	46832408	-	SLC38A4	ENSG00000139209.16
chr12	47075707	47079951	-	AMIGO2	ENSG00000139211.6
chr12	47079603	47236662	+	PCED1B	ENSG00000179715.13
chr12	47661249	47706030	-	RPAP3	ENSG00000005175.10
chr12	47709734	47725567	-	ENDOU	ENSG00000111405.9
chr12	47734363	47771040	-	RAPGEF3	ENSG00000079337.16
chr12	47753916	47782751	+	SLC48A1	ENSG00000211584.14
chr12	47782722	47833132	-	HDAC7	ENSG00000061273.18
chr12	47841537	47943048	-	VDR	ENSG00000111424.12
chr12	47963569	47968878	+	TMEM106C	ENSG00000134291.12
chr12	47972967	48004554	-	COL2A1	ENSG00000139219.19
chr12	48042897	48106079	-	SENP1	ENSG00000079387.14
chr12	48105139	48146404	+	PFKM	ENSG00000152556.17
chr12	48147789	48181213	-	ASB8	ENSG00000177981.11
chr12	48183644	48185926	+	CCDC184	ENSG00000177875.5
chr12	48202083	48203387	-	OR10AD1	ENSG00000172640.3
chr12	48328980	48330279	+	H1-7	ENSG00000187166.1
chr12	48337180	48351414	-	ZNF641	ENSG00000167528.12
chr12	48472559	48473622	+	ANP32D	ENSG00000139223.4
chr12	48482498	48496386	+	C12orf54	ENSG00000177627.10
chr12	48525632	48528103	+	OR8S1	ENSG00000284723.1
chr12	48559882	48562956	+	OR5BS1P	ENSG00000198678.5
chr12	48567684	48570066	-	LALBA	ENSG00000167531.6
chr12	48653211	48682238	-	KANSL2	ENSG00000139620.13
chr12	48688458	48716998	-	CCNT1	ENSG00000129315.11
chr12	48727435	48765790	+	TEX49	ENSG00000257987.6
chr12	48766194	48789037	-	ADCY6	ENSG00000174233.11
chr12	48813794	48828941	+	CACNB3	ENSG00000167535.8
chr12	48829756	48852842	-	DDX23	ENSG00000174243.10
chr12	48857145	48865870	-	RND1	ENSG00000172602.11
chr12	48903503	48957365	-	AC073610.2	ENSG00000272822.2
chr12	48904110	48931840	+	CCDC65	ENSG00000139537.11
chr12	48921518	48926474	-	FKBP11	ENSG00000134285.11
chr12	48935723	48957487	-	ARF3	ENSG00000134287.10
chr12	48965340	48971735	-	WNT10B	ENSG00000169884.14
chr12	48978322	48982620	+	WNT1	ENSG00000125084.12
chr12	48995149	48999375	-	DDN	ENSG00000181418.8
chr12	49002274	49018807	-	PRKAG1	ENSG00000181929.13
chr12	49018975	49059774	-	KMT2D	ENSG00000167548.15
chr12	49064676	49070025	-	RHEBL1	ENSG00000167550.11
chr12	49086656	49094801	-	DHH	ENSG00000139549.4
chr12	49096551	49110900	-	LMBR1L	ENSG00000139636.15
chr12	49127782	49131397	-	TUBA1B	ENSG00000123416.15
chr12	49184795	49189080	-	TUBA1A	ENSG00000167552.14
chr12	49188736	49274600	+	TUBA1C	ENSG00000167553.16
chr12	49293252	49298686	+	PRPH	ENSG00000135406.14
chr12	49323236	49331731	+	TROAP	ENSG00000135451.13
chr12	49332409	49337188	-	C1QL4	ENSG00000186897.5
chr12	49346888	49357546	+	DNAJC22	ENSG00000178401.16
chr12	49366584	49527425	+	SPATS2	ENSG00000123352.18
chr12	49539030	49558337	+	KCNH3	ENSG00000135519.8
chr12	49556544	49568145	-	MCRS1	ENSG00000187778.14
chr12	49568218	49644666	+	PRPF40B	ENSG00000110844.13
chr12	49582885	49605639	-	FAM186B	ENSG00000135436.8
chr12	49636499	49708165	-	FMNL3	ENSG00000161791.14
chr12	49707725	49764934	+	TMBIM6	ENSG00000139644.13
chr12	49791146	49828750	-	NCKAP5L	ENSG00000167566.17
chr12	49836043	49843106	-	BCDIN3D	ENSG00000186666.6
chr12	49866896	49904217	-	FAIM2	ENSG00000135472.9
chr12	49950741	49958881	+	AQP2	ENSG00000167580.7
chr12	49961872	49965682	+	AQP5	ENSG00000161798.7
chr12	49967194	49977139	+	AQP6	ENSG00000086159.13
chr12	49976923	50033136	-	RACGAP1	ENSG00000161800.13
chr12	50057548	50083611	+	ASIC1	ENSG00000110881.12
chr12	50085200	50100707	+	SMARCD1	ENSG00000066117.15
chr12	50103982	50111313	+	GPD1	ENSG00000167588.13
chr12	50112082	50120457	+	COX14	ENSG00000178449.9
chr12	50129289	50167533	-	CERS5	ENSG00000139624.14
chr12	50175788	50283546	-	LIMA1	ENSG00000050405.13
chr12	50326230	50396622	-	FAM186A	ENSG00000185958.10
chr12	50392383	50480004	+	LARP4	ENSG00000161813.22
chr12	50504985	50748657	+	DIP2B	ENSG00000066084.13
chr12	50763710	50821162	+	ATF1	ENSG00000123268.9
chr12	50842920	50887884	+	TMPRSS12	ENSG00000186452.11
chr12	50923472	50932510	+	METTL7A	ENSG00000185432.12
chr12	50953922	50970506	+	HIGD1C	ENSG00000214511.3
chr12	50979401	51028566	-	SLC11A2	ENSG00000110911.16
chr12	51047962	51060424	+	LETMD1	ENSG00000050426.16
chr12	51061205	51083664	-	CSRNP2	ENSG00000110925.7
chr12	51093656	51173135	-	TFCP2	ENSG00000135457.10
chr12	51186936	51217708	-	POU6F1	ENSG00000184271.17
chr12	51238724	51271362	+	DAZAP2	ENSG00000183283.16
chr12	51244558	51270415	-	SMAGP	ENSG00000170545.17
chr12	51281038	51324668	-	BIN2	ENSG00000110934.13
chr12	51328442	51346679	-	CELA1	ENSG00000139610.2
chr12	51351247	51392867	-	GALNT6	ENSG00000139629.16
chr12	51391317	51515763	+	SLC4A8	ENSG00000050438.17
chr12	51590266	51812864	+	SCN8A	ENSG00000196876.18
chr12	51813940	51814926	-	TMDD1	ENSG00000284730.1
chr12	51817840	51848766	-	FIGNL2	ENSG00000261308.2
chr12	51888009	51891727	+	ANKRD33	ENSG00000167612.13
chr12	51906908	51923361	+	ACVRL1	ENSG00000139567.13
chr12	51951699	51997078	+	ACVR1B	ENSG00000135503.13
chr12	52006946	52015889	+	GRASP	ENSG00000161835.11
chr12	52022832	52059507	+	NR4A1	ENSG00000123358.20
chr12	52069246	52077494	+	ATG101	ENSG00000123395.14
chr12	52079704	52108255	+	SMIM41	ENSG00000284791.2
chr12	52168996	52192014	-	KRT80	ENSG00000167767.14
chr12	52232520	52252186	+	KRT7	ENSG00000135480.16
chr12	52249300	52309163	+	KRT86	ENSG00000170442.12
chr12	52285913	52291534	-	KRT81	ENSG00000205426.10
chr12	52314301	52321398	-	KRT83	ENSG00000170523.3
chr12	52360006	52367481	-	KRT85	ENSG00000135443.8
chr12	52377812	52385652	-	KRT84	ENSG00000161849.3
chr12	52393931	52406335	-	KRT82	ENSG00000161850.3
chr12	52424070	52434371	-	KRT75	ENSG00000170454.6
chr12	52446651	52452146	-	KRT6B	ENSG00000185479.6
chr12	52468516	52473805	-	KRT6C	ENSG00000170465.10
chr12	52487176	52493257	-	KRT6A	ENSG00000205420.11
chr12	52514575	52520530	-	KRT5	ENSG00000186081.12
chr12	52543909	52553145	-	KRT71	ENSG00000139648.7
chr12	52565782	52573843	-	KRT74	ENSG00000170484.10
chr12	52585589	52601538	-	KRT72	ENSG00000170486.11
chr12	52607570	52618559	-	KRT73	ENSG00000186049.8
chr12	52644558	52652211	-	KRT2	ENSG00000172867.4
chr12	52674736	52680407	-	KRT1	ENSG00000167768.4
chr12	52689626	52703524	-	KRT77	ENSG00000189182.10
chr12	52768155	52777345	-	KRT76	ENSG00000185069.2
chr12	52789685	52796117	-	KRT3	ENSG00000186442.7
chr12	52806549	52814116	-	KRT4	ENSG00000170477.13
chr12	52821408	52834311	-	KRT79	ENSG00000185640.6
chr12	52837804	52849092	-	KRT78	ENSG00000170423.13
chr12	52897187	52949954	-	KRT8	ENSG00000170421.12
chr12	52948871	52952906	+	KRT18	ENSG00000111057.11
chr12	53006158	53042209	+	EIF4B	ENSG00000063046.17
chr12	53046969	53064379	+	TNS2	ENSG00000111077.18
chr12	53064316	53079404	-	SPRYD3	ENSG00000167778.9
chr12	53097436	53102345	+	IGFBP6	ENSG00000167779.9
chr12	53103486	53124535	+	SOAT2	ENSG00000167780.12
chr12	53157663	53180909	-	CSAD	ENSG00000139631.18
chr12	53180704	53195142	+	ZNF740	ENSG00000139651.11
chr12	53191323	53207282	-	ITGB7	ENSG00000139626.16
chr12	53210567	53232980	-	RARG	ENSG00000172819.17
chr12	53241889	53242723	+	AC021072.1	ENSG00000283536.2
chr12	53251251	53254406	+	MFSD5	ENSG00000182544.9
chr12	53268299	53293638	+	ESPL1	ENSG00000135476.12
chr12	53295291	53299450	+	PFDN5	ENSG00000123349.14
chr12	53299695	53307177	+	C12orf10	ENSG00000139637.14
chr12	53307456	53324864	-	AAAS	ENSG00000094914.14
chr12	53326575	53345315	-	SP7	ENSG00000170374.6
chr12	53380176	53416446	+	SP1	ENSG00000185591.10
chr12	53423855	53431672	+	AMHR2	ENSG00000135409.11
chr12	53441678	53446645	+	PRR13	ENSG00000205352.11
chr12	53452102	53481162	+	PCBP2	ENSG00000197111.16
chr12	53479669	53500063	-	MAP3K12	ENSG00000139625.13
chr12	53500921	53506431	+	TARBP2	ENSG00000139546.11
chr12	53506688	53625979	-	ATF7-NPFF	ENSG00000267281.2
chr12	53506690	53507638	-	NPFF	ENSG00000139574.8
chr12	53507856	53626410	-	ATF7	ENSG00000170653.19
chr12	53632726	53677408	-	ATP5MC2	ENSG00000135390.21
chr12	53708517	53727745	-	CALCOCO1	ENSG00000012822.16
chr12	53938831	53946544	+	HOXC13	ENSG00000123364.5
chr12	53954903	53958956	+	HOXC12	ENSG00000123407.4
chr12	53973126	53977643	+	HOXC11	ENSG00000123388.4
chr12	53985065	53990279	+	HOXC10	ENSG00000180818.5
